DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,GADM Admin Units,Entry Date,Last Update
2005-0367-FRA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,FRA,France,Western Europe,Europe,"Gardanne, Aix en Provence, Meyreuil, Lançon-de-Provence, Val-de-Cibourg (Bouches du Rhone), Calvi, Calenzana, Haut Nebbio, Pieve, Vallecalle, Murato, Montemaggiore, Montegrosso, Zilia, Avapessa et Aregno (Haute Corse), Saint-Zacharie, Draguignan, Saint-Tropez, Vidauban, Muy (Var) , Meze (Herault)",,,No,No,No,,35.5,Km2,,,,2005,6,20,2005,8,26,2,,,,,,,,,10000,16485,60.66033175,"[{""adm2_code"":16271,""adm2_name"":""Haute-Corse""},{""adm2_code"":16287,""adm2_name"":""Herault""},{""adm2_code"":16322,""adm2_name"":""Bouches-du-Rhone""},{""adm2_code"":16324,""adm2_name"":""Var""}]","[{""gid_2"":""FRA.11.8_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Hérault""},{""gid_2"":""FRA.13.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Bouches-du-Rhône""},{""gid_2"":""FRA.13.5_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Var""},{""gid_2"":""FRA.5.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Haute-Corse""}]",2007-02-21,2025-12-20
2005-0380-ESP,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,GLIDE:WF-2005-000116,,ESP,Spain,Southern Europe,Europe,Guadalajara district (Castilla-La Mancha province),Barbecue and high winds,,No,No,No,,,Km2,,,,2005,7,18,2005,7,18,11,1,,,1,,,,,2050000,3379474,60.66033175,"[{""adm2_code"":25804,""adm2_name"":""Guadalajara""}]","[{""gid_2"":""ESP.4.4_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Guadalajara""}]",2005-07-19,2025-12-20
2005-0430-IDN,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,IDN,Indonesia,South-eastern Asia,Asia,"Sintang, Sanggau, Ketapang districts (Kalimatan Barat province), Kotawaringin Timur, Katingan, Seruyan, Kapuas (Kalimantan Tengah province), Kota Baru, Tapin, Hulusungai Selatan, Banjar, Tanahlaut (Kalimantan Selatan province) (Sumatra Isl.)",,,No,No,No,,,Km2,,,,2005,8,9,2005,8,9,,,,,,,,,,,,60.66033175,"[{""adm2_code"":18102,""adm2_name"":""Ketapang""},{""adm2_code"":73839,""adm2_name"":""Sanggau""},{""adm2_code"":73851,""adm2_name"":""Sintang""},{""adm2_code"":18108,""adm2_name"":""Banjar""},{""adm2_code"":18110,""adm2_name"":""Hulusungai Selatan""},{""adm2_code"":18114,""adm2_name"":""Kota Baru""},{""adm2_code"":18116,""adm2_name"":""Tanahlaut""},{""adm2_code"":18117,""adm2_name"":""Tapin""},{""adm2_code"":73689,""adm2_name"":""Kapuas""},{""adm2_code"":73691,""adm2_name"":""Katingan""},{""adm2_code"":73763,""adm2_name"":""Kotawaringin Timur""},{""adm2_code"":73848,""adm2_name"":""Seruyan""}]","[{""gid_2"":""IDN.12.11_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Sanggau""},{""gid_2"":""IDN.12.14_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Sintang""},{""gid_2"":""IDN.12.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""Kayong Utara""},{""gid_2"":""IDN.12.4_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""Ketapang""},{""gid_2"":""IDN.13.12_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Tanah Laut""},{""gid_2"":""IDN.13.13_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Tapin""},{""gid_2"":""IDN.13.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Banjar""},{""gid_2"":""IDN.13.6_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Hulu Sungai Selatan""},{""gid_2"":""IDN.13.9_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Kota Baru""},{""gid_2"":""IDN.14.13_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Seruyan""},{""gid_2"":""IDN.14.5_1"",""migration_date"":""2025-12-20"",""migration_method"":""bufhaus2"",""name_2"":""Kapuas""},{""gid_2"":""IDN.14.6_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Katingan""},{""gid_2"":""IDN.14.8_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Kotawaringin Timur""}]",2005-09-12,2025-12-20
2005-0739-DOM,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,DOM,Dominican Republic,Latin America and the Caribbean,Americas,"Bohechio, San Juan de la Maguana districts (San Juan province), San José de Las Matas district (Santiago province), San Ignacio de Sabaneta district (Santiago Rodriguez province)",Drought,,Yes,No,No,,1000,Km2,,,,2005,3,11,2005,3,11,,,,,,,,,,,,60.66033175,"[{""adm2_code"":36985,""adm2_name"":""Bohech¡o""},{""adm2_code"":36989,""adm2_name"":""San Juan de la Maguana""},{""adm2_code"":37010,""adm2_name"":""San Jos de Las Matas""},{""adm2_code"":37002,""adm2_name"":""San Ignacio de Sabaneta""}]","[{""gid_2"":""DOM.26.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Bohechio""},{""gid_2"":""DOM.26.5_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""San Juan de la Maguana""},{""gid_2"":""DOM.29.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""Los Almácigos""},{""gid_2"":""DOM.29.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""San Ignacio de Sabaneta""},{""gid_2"":""DOM.30.5_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""San José de Las Matas""}]",2006-01-19,2025-12-20
2006-0057-AUS,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,AUS,Australia,Australia and New Zealand,Oceania,"Victoria, New South Wales, Tasmania provinces",,,No,No,No,,,Km2,,,,2006,1,,2006,4,,3,,,81,81,,,,,50000,79850,62.61719478,"[{""adm1_code"":470,""adm1_name"":""New South Wales""},{""adm1_code"":475,""adm1_name"":""Tasmania""},{""adm1_code"":476,""adm1_name"":""Victoria""}]","[{""gid_1"":""AUS.10_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Victoria""},{""gid_1"":""AUS.5_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""New South Wales""},{""gid_1"":""AUS.9_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Tasmania""}]",2007-01-03,2025-12-20
2006-0728-PAN,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,,PAN,Panama,Latin America and the Caribbean,Americas,"Miria Ubgidandu island (Kuna Yala district, Kuna Yala province), Kuna de Madungandí district (Panama province), Kuna de Wargandí district (Darien province)",,,No,No,No,,,Km2,,,,2006,12,20,2006,,,,,1436,,1436,,,,,,,62.61719478,"[{""adm2_code"":23723,""adm2_name"":""Kuna Yala""},{""adm2_code"":93696,""adm2_name"":""Kuna de Madungandí""},{""adm2_code"":93697,""adm2_name"":""Kuna de Wargandí""}]","[{""gid_2"":""PAN.12.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""bufhaus2"",""name_2"":""Chepo""},{""gid_2"":""PAN.5.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""bufhaus2"",""name_2"":""Pinogana""},{""gid_2"":""PAN.8.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Kuna Yala""}]",2007-11-05,2025-12-20
2007-0337-ZAF,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,GLIDE:WF-2007-000121,,ZAF,South Africa,Sub-Saharan Africa,Africa,"KwaZulu-Natal, Mpumalanga, Free State, Eastern Cape, Limpopo, Gauteng provinces",Drought situation,,No,No,No,,,Km2,,,,2007,7,27,2007,7,30,26,,,1600,1600,,,,,,,64.40346368,"[{""adm1_code"":2707,""adm1_name"":""Free State""},{""adm1_code"":2708,""adm1_name"":""Gauteng""},{""adm1_code"":77310,""adm1_name"":""Eastern Cape""},{""adm1_code"":77311,""adm1_name"":""KwaZulu-Natal""},{""adm1_code"":77312,""adm1_name"":""Limpopo""},{""adm1_code"":77313,""adm1_name"":""Mpumalanga""}]","[{""gid_1"":""ZAF.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Eastern Cape""},{""gid_1"":""ZAF.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Free State""},{""gid_1"":""ZAF.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Gauteng""},{""gid_1"":""ZAF.4_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""KwaZulu-Natal""},{""gid_1"":""ZAF.5_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Limpopo""},{""gid_1"":""ZAF.6_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Mpumalanga""}]",2008-08-04,2025-12-20
2007-0351-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,USA,United States of America,Northern America,Americas,"Alpine, Amador, Calaveras, El Dorado, Mono, Placer, Tuolumne districts (California province)",,,No,No,No,,,Km2,,,,2007,6,24,2007,7,2,,,,768,768,,,150000,232907,,,64.40346368,"[{""adm2_code"":28866,""adm2_name"":""Alpine""},{""adm2_code"":28867,""adm2_name"":""Amador""},{""adm2_code"":28869,""adm2_name"":""Calaveras""},{""adm2_code"":28873,""adm2_name"":""El Dorado""},{""adm2_code"":28890,""adm2_name"":""Mono""},{""adm2_code"":28895,""adm2_name"":""Placer""},{""adm2_code"":28919,""adm2_name"":""Tuolumne""}]","[{""gid_2"":""USA.5.26_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Mono""},{""gid_2"":""USA.5.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Alpine""},{""gid_2"":""USA.5.31_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Placer""},{""gid_2"":""USA.5.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Amador""},{""gid_2"":""USA.5.55_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Tuolumne""},{""gid_2"":""USA.5.5_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Calaveras""},{""gid_2"":""USA.5.9_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""El Dorado""}]",2008-10-21,2025-12-20
2009-0067-AUS,No,nat-cli-wil-lan,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",GLIDE:WF-2009-000035,,AUS,Australia,Australia and New Zealand,Oceania,"Marysville, Kinglake, Taggerty cities (Murrindindi (S) district, Victoria province), Strathewen, St Andrews cities (Nillumbik (S) district, Victoria province), , Whittlesea city (Whittlesea district, Victoria province), Wandong city (Mitchell (S) district, Victoria province)",,Heat wave,No,No,No,,3100,Km2,,,,2009,2,2,2009,2,14,180,500,9454,,9954,,,770000,1155493,1300000,1950833,66.63820107,"[{""adm2_code"":5399,""adm2_name"":""Mitchell (S)""},{""adm2_code"":5409,""adm2_name"":""Nillumbik (S)""},{""adm2_code"":5427,""adm2_name"":""Whittlesea (C)""},{""adm2_code"":154648,""adm2_name"":""Murrindindi (S)""}]","[{""gid_2"":""AUS.10.47_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Mitchell""},{""gid_2"":""AUS.10.56_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Murrindindi""},{""gid_2"":""AUS.10.57_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Nillumbik""},{""gid_2"":""AUS.10.75_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Whittlesea""}]",2010-03-07,2025-12-20
2009-0271-ESP,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,ESP,Spain,Southern Europe,Europe,"Teruel district (Aragon province), Almeria district (Andalucia province), Horta de Sant Joan commune (Tarragona district, Cataluna/Catalunya province), Trevino area (Burgos district, Castilla y Leon province), Cuenca district (Castilla-La Mancha province)",,Heat wave|Storm,No,No,No,,170,Km2,,,,2009,7,20,2009,7,24,6,,,,,,,,,,,66.63820107,"[{""adm2_code"":25776,""adm2_name"":""Almería""},{""adm2_code"":25785,""adm2_name"":""Teruel""},{""adm2_code"":25793,""adm2_name"":""Burgos""},{""adm2_code"":25803,""adm2_name"":""Cuenca""},{""adm2_code"":25809,""adm2_name"":""Tarragona""}]","[{""gid_2"":""ESP.1.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Almería""},{""gid_2"":""ESP.2.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Teruel""},{""gid_2"":""ESP.4.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Cuenca""},{""gid_2"":""ESP.5.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Burgos""},{""gid_2"":""ESP.6.4_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Tarragona""}]",2010-03-07,2025-12-20
2009-0271-FRA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,FRA,France,Western Europe,Europe,"Corse province, Marseille city (Bouches-du-Rhone district, Provence-Alpes-Cote-d'Azur province)",,,No,No,No,,,Km2,,,,2009,7,,2009,7,,,,,,,,,,,,,66.63820107,"[{""adm1_code"":1256,""adm1_name"":""Corse""},{""adm2_code"":16322,""adm2_name"":""Bouches-du-Rhone""}]","[{""gid_1"":""FRA.5_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Corse""},{""gid_2"":""FRA.13.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Bouches-du-Rhône""}]",2009-08-06,2025-12-20
2009-0271-GRC,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,GRC,Greece,Southern Europe,Europe,"Zakynthou district (Ionioi Nisoi province), Peloponnisos province, Evvoias district (Sterea Ellada province)",,,No,No,No,,,Km2,,,,2009,7,,2009,7,,,,,,,,,,,,,66.63820107,"[{""adm1_code"":1345,""adm1_name"":""Peloponnisos""},{""adm2_code"":16691,""adm2_name"":""Zakynthou""},{""adm2_code"":16716,""adm2_name"":""Evvoias""}]","[{""gid_2"":""GRC.7.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""bufhaus2"",""name_2"":""Ionian Islands""},{""gid_2"":""GRC.7.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_2"",""name_2"":""Peloponnese""},{""gid_2"":""GRC.8.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""bufhaus2"",""name_2"":""Central Greece""}]",2009-08-06,2025-12-20
2009-0345-GRC,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,GLIDE:WF-2009-000162,,GRC,Greece,Southern Europe,Europe,"Marathonas area (Attikis district, Attiki province)",,,No,No,No,,,Km2,,,,2009,8,21,2009,8,25,,,715,325,1040,,,,,,,66.63820107,"[{""adm2_code"":16680,""adm2_name"":""Attikis""}]","[{""gid_2"":""GRC.3.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Attica""}]",2010-02-17,2025-12-20
2009-0349-USA,No,nat-cli-wil-lan,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,USA,United States of America,Northern America,Americas,"Los Angeles, Monterey districts (California province)",,,No,No,Yes,,,Km2,,,,2009,7,7,2009,10,27,2,,,192,192,,,,,,,66.63820107,"[{""adm2_code"":28883,""adm2_name"":""Los Angeles""},{""adm2_code"":28891,""adm2_name"":""Monterey""}]","[{""gid_2"":""USA.5.19_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Los Angeles""},{""gid_2"":""USA.5.27_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Monterey""}]",2010-01-12,2025-12-20
2010-0289-COL,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,,COL,Colombia,Latin America and the Caribbean,Americas,"Antioquia, Arauca, Bolivar, Boyaca, Caldas, Caqueta, Casanare, Cauca, Cesar, Cordoba, Cundinamarca, Guainia, Guajira, Guaviare, Huila, Magdalena, Meta, Narino, Norte De Santander, Putumayo, Quindio, Risaralda, Santander, Sucre, Tolima, Valle Del Cauca, Vichada provinces",Dry conditions,,Yes,No,No,,,Km2,,,,2010,1,,2010,4,6,31,,200,,200,,,,,,,67.73109453,"[{""adm1_code"":935,""adm1_name"":""Antioquia""},{""adm1_code"":936,""adm1_name"":""Arauca""},{""adm1_code"":938,""adm1_name"":""Bolivar""},{""adm1_code"":939,""adm1_name"":""Boyaca""},{""adm1_code"":941,""adm1_name"":""Caldas""},{""adm1_code"":942,""adm1_name"":""Caqueta""},{""adm1_code"":943,""adm1_name"":""Casanare""},{""adm1_code"":944,""adm1_name"":""Cauca""},{""adm1_code"":945,""adm1_name"":""Cesar""},{""adm1_code"":947,""adm1_name"":""Cordoba""},{""adm1_code"":948,""adm1_name"":""Cundinamarca""},{""adm1_code"":949,""adm1_name"":""Guainia""},{""adm1_code"":950,""adm1_name"":""Guajira""},{""adm1_code"":951,""adm1_name"":""Guaviare""},{""adm1_code"":952,""adm1_name"":""Huila""},{""adm1_code"":953,""adm1_name"":""Magdalena""},{""adm1_code"":954,""adm1_name"":""Meta""},{""adm1_code"":955,""adm1_name"":""Narino""},{""adm1_code"":956,""adm1_name"":""Norte De Santander""},{""adm1_code"":957,""adm1_name"":""Putumayo""},{""adm1_code"":958,""adm1_name"":""Quindio""},{""adm1_code"":959,""adm1_name"":""Risaralda""},{""adm1_code"":961,""adm1_name"":""Santander""},{""adm1_code"":962,""adm1_name"":""Sucre""},{""adm1_code"":963,""adm1_name"":""Tolima""},{""adm1_code"":964,""adm1_name"":""Valle Del Cauca""},{""adm1_code"":966,""adm1_name"":""Vichada""}]","[{""gid_1"":""COL.10_2"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Casanare""},{""gid_1"":""COL.11_2"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Cauca""},{""gid_1"":""COL.12_2"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Cesar""},{""gid_1"":""COL.14_2"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Córdoba""},{""gid_1"":""COL.15_2"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Cundinamarca""},{""gid_1"":""COL.16_2"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Guainía""},{""gid_1"":""COL.17_2"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Guaviare""},{""gid_1"":""COL.18_2"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Huila""},{""gid_1"":""COL.19_2"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""La Guajira""},{""gid_1"":""COL.20_2"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Magdalena""},{""gid_1"":""COL.21_2"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Meta""},{""gid_1"":""COL.22_2"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Nariño""},{""gid_1"":""COL.23_2"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Norte de Santander""},{""gid_1"":""COL.24_2"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Putumayo""},{""gid_1"":""COL.25_2"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Quindío""},{""gid_1"":""COL.26_2"",""migration_date"":""2025-12-20"",""migration_method"":""bufhaus1"",""name_1"":""Risaralda""},{""gid_1"":""COL.28_2"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Santander""},{""gid_1"":""COL.29_2"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Sucre""},{""gid_1"":""COL.2_2"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Antioquia""},{""gid_1"":""COL.30_2"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Tolima""},{""gid_1"":""COL.31_2"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Valle del Cauca""},{""gid_1"":""COL.33_2"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Vichada""},{""gid_1"":""COL.3_2"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Arauca""},{""gid_1"":""COL.5_2"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Bogotá D.C.""},{""gid_1"":""COL.6_2"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Bolívar""},{""gid_1"":""COL.7_2"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Boyacá""},{""gid_1"":""COL.8_2"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Caldas""},{""gid_1"":""COL.9_2"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Caquetá""}]",2014-07-28,2025-12-20
2010-0414-COD,No,nat-cli-wil-lan,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,COD,Democratic Republic of the Congo,Sub-Saharan Africa,Africa,"Kongolo city (Tanganyka district, Katanga province)",,,No,No,No,,,Km2,,,,2010,8,6,2010,8,20,8,,,2770,2770,,,,,,,67.73109453,"[{""adm2_code"":14986,""adm2_name"":""Tanganyka""}]","[{""gid_2"":""COD.24.10_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""Nyunzu""},{""gid_2"":""COD.24.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""Kabalo""},{""gid_2"":""COD.24.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""Kalemie""},{""gid_2"":""COD.24.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""Kalemie (ville)""},{""gid_2"":""COD.24.4_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""Kaoze""},{""gid_2"":""COD.24.5_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""Kongolo""},{""gid_2"":""COD.24.6_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""Kongolo (ville)""},{""gid_2"":""COD.24.7_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""Manono""},{""gid_2"":""COD.24.8_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""Manono (ville)""},{""gid_2"":""COD.24.9_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""Moba""}]",2010-08-23,2025-12-20
2011-0161-MEX,No,nat-cli-wil-lan,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,MEX,Mexico,Latin America and the Caribbean,Americas,"Acuna, Muzquiz, Ocampo, Arteaga districts (Coahuila province)",Lightning,Heat wave,Yes,No,Yes,,,Km2,,,,2011,3,,2011,5,,,,,,,,,,,,,69.86926351,"[{""adm2_code"":19775,""adm2_name"":""Acuna""},{""adm2_code"":19777,""adm2_name"":""Arteaga""},{""adm2_code"":19793,""adm2_name"":""Muzquiz""},{""adm2_code"":19796,""adm2_name"":""Ocampo""}]","[{""gid_2"":""MEX.7.20_2"",""migration_date"":""2025-12-20"",""migration_method"":""bufhaus2"",""name_2"":""Múzquiz""},{""gid_2"":""MEX.7.23_2"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Ocampo""},{""gid_2"":""MEX.7.2_2"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Acuña""},{""gid_2"":""MEX.7.4_2"",""migration_date"":""2025-12-20"",""migration_method"":""bufhaus2"",""name_2"":""Arteaga""}]",2014-07-28,2025-12-20
2012-0608-ECU,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,GLIDE:FR-2012-000167,,ECU,Ecuador,Latin America and the Caribbean,Americas,"Azuay, El Oro, Imbabura, Loja provinces",,,Yes,Yes,No,,,Km2,,,,2012,5,1,2012,9,25,5,70,1875,,1945,,,,,,,71.31508773,"[{""adm1_code"":1135,""adm1_name"":""Azuay""},{""adm1_code"":1141,""adm1_name"":""El Oro""},{""adm1_code"":1145,""adm1_name"":""Imbabura""},{""adm1_code"":1146,""adm1_name"":""Loja""}]","[{""gid_1"":""ECU.11_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Imbabura""},{""gid_1"":""ECU.12_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Loja""},{""gid_1"":""ECU.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Azuay""},{""gid_1"":""ECU.7_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""El Oro""}]",2013-05-22,2025-12-20
2013-0210-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,USA,United States of America,Northern America,Americas,"Black Forest area (El Paso district, Colorado province)",,,No,No,No,,,Km2,,,,2013,6,6,2013,6,20,2,,84,1533,1617,,,450000,621893,500000,690992,72.35973748,"[{""adm2_code"":28942,""adm2_name"":""El Paso""}]","[{""gid_2"":""USA.6.21_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""El Paso""}]",2014-03-20,2025-12-20
